start,end,label,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz,original_start,original_end,filename
0 days 00:00:00.120000,0 days 00:00:00.140000,answer10,0.19168985,-11.7794075,20.20004,0.02378043,-0.011698584,0.03894141,17.465935,11.825973,9.096883,7.790066,0.0,0.0,0.0,0.0,0.0,0.0,363.8287,1317.7399,-201.0,1346.7252,981.83203,-201.0,2277.1326,839.3557,-201.0,0 days 00:01:15.762308976,0 days 00:01:15.782308976,ID57_20ms.csv
0 days 00:00:00.140000,0 days 00:00:00.160000,answer10,0.20535529,-11.903553,20.25495,0.020548398,-0.013634555,0.038964447,18.312582,10.958798,6.0912194,4.7450953,0.0,0.0,0.0,0.0,0.0,0.0,592.4184,1250.7838,-201.0,1578.3301,944.03156,-201.0,2557.9822,785.94305,-201.0,0 days 00:01:15.782308976,0 days 00:01:15.802308976,ID57_20ms.csv
0 days 00:00:00.160000,0 days 00:00:00.180000,answer10,0.28353545,-7.4662595,18.301725,0.00347201,-0.0004129888,0.08854181,17.453764,2.9990451,0.967135,8.223895,0.0,0.0,0.0,0.0,0.0,0.0,652.56146,1229.3478,-201.0,1569.6442,1097.3568,-201.0,2512.9817,870.9311,-201.0,0 days 00:01:15.802308976,0 days 00:01:15.822308976,ID57_20ms.csv
0 days 00:00:00.180000,0 days 00:00:00.200000,answer10,1.0929707,6.894544,8.428029,0.028055245,0.0149563635,0.52640224,2.175239,-13.190963,-7.5794315,4.3141317,0.0,0.0,0.0,0.0,0.0,0.0,445.15164,1056.8206,-201.0,1245.6969,1145.4541,-201.0,2308.2947,889.5254,-201.0,0 days 00:01:15.822308976,0 days 00:01:15.842308976,ID57_20ms.csv
0 days 00:00:00.200000,0 days 00:00:00.220000,answer10,1.3643793,8.356925,5.603569,0.02806873,0.013160999,0.46612176,-6.691767,-12.333263,-6.89129,1.74333,29.987297,0.0,0.0,-2.932469,1.2285309,-2.2771187,304.29724,1182.1901,-110.33463,1167.3252,909.77423,-73.75492,2356.9397,496.65836,-76.906654,0 days 00:01:15.842308976,0 days 00:01:15.862308976,ID57_20ms.csv
0 days 00:00:00.220000,0 days 00:00:00.240000,answer10,1.1940156,3.3220217,5.985161,0.022028198,0.012758746,0.48492825,-1.0869015,-8.579937,-5.5900803,5.882826,30.830866,0.0,0.0,2.4404929,-0.745889,8.830085,403.21884,709.88605,-10.381113,1392.6211,865.75146,-14.764175,2391.2688,476.6262,-22.184052,0 days 00:01:15.862308976,0 days 00:01:15.882308976,ID57_20ms.csv
0 days 00:00:00.240000,0 days 00:00:00.260000,answer10,1.384648,-5.28103,17.829157,0.038586427,-0.007141167,0.8215993,14.559171,0.77350134,3.0568821,13.625743,30.947535,0.0,0.0,4.854706,-3.6115894,16.917082,427.69107,1024.9164,-10.974884,1348.9442,753.82086,-18.359543,2434.779,642.97656,-28.73303,0 days 00:01:15.882308976,0 days 00:01:15.902308976,ID57_20ms.csv
0 days 00:00:00.260000,0 days 00:00:00.280000,answer10,1.3552631,-11.077098,27.145838,0.063077085,-0.021684749,0.804334,25.370094,5.8930225,5.643734,9.220891,29.63838,0.08423763,2.382582,4.886197,0.10701609,19.656483,396.36807,1140.2765,-14.945313,1374.3529,784.5722,-23.891869,2492.0603,814.2944,-31.838089,0 days 00:01:15.902308976,0 days 00:01:15.922308976,ID57_20ms.csv
0 days 00:00:00.280000,0 days 00:00:00.300000,answer10,0.8513298,-16.097013,26.96911,0.03414766,-0.019648643,0.6268748,23.775644,13.360387,13.544884,12.868011,28.53982,0.06711962,2.600279,5.7127,5.833334,19.883291,348.09497,1241.4823,-15.279465,1416.124,803.59106,-31.144457,2377.6296,997.368,-29.754786,0 days 00:01:15.922308976,0 days 00:01:15.942308976,ID57_20ms.csv
0 days 00:00:00.300000,0 days 00:00:00.320000,answer10,0.75831336,-12.865283,20.709639,0.024479007,-0.011501148,0.29321378,13.029987,19.910013,26.831886,9.320886,30.073019,0.05302033,2.465331,5.639218,-1.283593,15.757614,218.19447,1341.5316,0.0,1451.148,477.125,-31.523214,2508.4187,736.0124,-26.053751,0 days 00:01:15.942308976,0 days 00:01:15.962308976,ID57_20ms.csv
