file,start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
./voice_sample/asano.wav,0 days 00:00:41.820000,0 days 00:00:41.845000,0.15041348,-8.698649,13.50034,-0.040074985,-0.01718788,0.048988048,18.438799,0.3600669,16.168467,18.887053,0.0,0.0,0.0,0.0,0.0,0.0,729.56146,1318.1278,-201.0,1707.6761,982.778,-201.0,2716.894,969.1307,-201.0
./voice_sample/asano.wav,0 days 00:00:41.830000,0 days 00:00:41.855000,0.09720532,-11.463276,17.97682,-0.043163925,-0.011169929,0.034283083,17.728704,5.0679703,16.843683,17.975307,0.0,0.0,0.0,0.0,0.0,0.0,853.1047,1251.9196,-201.0,1839.8492,962.3702,-201.0,2838.5176,859.2336,-201.0
./voice_sample/asano.wav,0 days 00:00:41.840000,0 days 00:00:41.865000,0.08458873,-10.396229,20.066275,-0.031000176,-0.011883996,0.02321157,15.726499,5.988562,15.148744,14.790891,0.0,0.0,0.0,0.0,0.0,0.0,686.69165,1310.7375,-201.0,1691.7189,1026.5591,-201.0,2605.67,1068.1129,-201.0
./voice_sample/asano.wav,0 days 00:00:41.850000,0 days 00:00:41.875000,0.088715315,-10.934189,21.198082,-0.042458635,-0.010737974,0.0123598585,14.228465,6.905253,14.67649,13.291829,0.0,0.0,0.0,0.0,0.0,0.0,669.882,1424.3018,-201.0,1634.6964,1189.4281,-201.0,2462.6301,1220.7003,-201.0
./voice_sample/asano.wav,0 days 00:00:41.860000,0 days 00:00:41.885000,0.092897706,-8.788041,18.765818,-0.038007885,-0.011408177,0.013026827,12.624957,5.381908,11.859988,10.117681,0.0,0.0,0.0,0.0,0.0,0.0,618.6303,1508.4816,-201.0,1535.794,1382.652,-201.0,2384.5332,1206.1619,-201.0
./voice_sample/asano.wav,0 days 00:00:41.870000,0 days 00:00:41.895000,0.09668098,-7.6321654,16.944391,-0.026693784,-0.008848331,0.013112434,11.303646,3.559499,9.672347,5.437405,0.0,0.0,0.0,0.0,0.0,0.0,594.6799,1639.3696,-201.0,1452.3525,1435.1442,-201.0,2361.0222,1059.9536,-201.0
./voice_sample/asano.wav,0 days 00:00:41.880000,0 days 00:00:41.905000,0.09789476,-5.9935246,13.914673,-0.012443215,-0.007575046,0.011134349,10.481502,1.597631,8.236032,1.5194296,0.0,0.0,0.0,0.0,0.0,0.0,688.89386,1601.1381,-201.0,1591.1842,1479.7614,-201.0,2454.205,1088.2725,-201.0
./voice_sample/asano.wav,0 days 00:00:41.890000,0 days 00:00:41.915000,0.099432506,-6.385706,13.612464,-0.015337738,-0.00614495,0.008348896,10.736897,0.7204437,8.079869,3.6893806,0.0,0.0,0.0,0.0,0.0,0.0,680.9547,1513.5433,-201.0,1620.8695,1321.57,-201.0,2484.9763,1134.9196,-201.0
./voice_sample/asano.wav,0 days 00:00:41.900000,0 days 00:00:41.925000,0.10152623,-5.951448,12.223069,-0.023703605,-0.007845382,0.007933098,10.23581,0.6265163,6.7838035,4.487782,0.0,0.0,0.0,0.0,0.0,0.0,775.5599,1322.9171,-201.0,1819.1744,1214.7323,-201.0,2703.4802,1082.0444,-201.0
./voice_sample/asano.wav,0 days 00:00:41.910000,0 days 00:00:41.935000,0.10299758,-6.0604587,12.222966,-0.030228704,-0.010313865,0.00860788,10.302719,1.275244,7.219416,5.5464673,0.0,0.0,0.0,0.0,0.0,0.0,713.23615,1194.8988,-201.0,1724.232,1140.1577,-201.0,2616.7175,968.21387,-201.0
./voice_sample/asano.wav,0 days 00:00:41.920000,0 days 00:00:41.945000,0.11057842,-6.0934167,12.803069,-0.03619187,-0.010962109,0.010211666,10.886745,0.1323127,10.394874,3.4458694,0.0,0.0,0.0,0.0,0.0,0.0,529.6501,1226.754,-201.0,1569.6808,1123.0114,-201.0,2469.0034,1112.0077,-201.0
./voice_sample/asano.wav,0 days 00:00:41.930000,0 days 00:00:41.955000,0.11866972,-6.6206727,12.909291,-0.03146045,-0.009955854,0.012263539,12.320755,-0.41652262,14.066449,4.0982747,0.0,0.0,0.0,0.0,0.0,0.0,508.79443,1532.1237,-201.0,1503.1437,1219.1713,-201.0,2424.2651,1207.6927,-201.0
./voice_sample/asano.wav,0 days 00:00:41.940000,0 days 00:00:41.965000,0.12983131,-5.1974454,10.284478,-0.008794579,-0.009111308,0.015263595,12.8678255,-3.890126,14.51579,1.9958925,0.0,0.0,0.0,0.0,0.0,0.0,745.9053,1517.5038,-201.0,1747.4254,1125.5851,-201.0,2741.865,1081.0211,-201.0
./voice_sample/asano.wav,0 days 00:00:41.950000,0 days 00:00:41.975000,0.13462834,-4.444259,7.3014355,0.00042601643,-0.01183898,0.016764905,12.971423,-4.3438563,12.913524,0.95930856,0.0,0.0,0.0,0.0,0.0,0.0,724.74365,1495.7545,-201.0,1721.9951,1097.6064,-201.0,2670.1199,944.27313,-201.0
./voice_sample/asano.wav,0 days 00:00:41.960000,0 days 00:00:41.985000,0.14015384,-3.4080641,6.7356224,0.0034015428,-0.01328865,0.016231988,12.996951,-6.085442,10.042679,-1.0714571,0.0,0.0,0.0,0.0,0.0,0.0,705.04736,1255.4247,-201.0,1735.0133,1095.3146,-201.0,2670.4749,1395.5355,-201.0
./voice_sample/asano.wav,0 days 00:00:41.970000,0 days 00:00:41.995000,0.14432767,-4.122586,8.136773,-0.015517364,-0.013412058,0.01580369,13.83977,-5.75332,11.062768,-1.5069798,0.0,0.0,0.0,0.0,0.0,0.0,477.0709,1260.9442,-201.0,1535.4984,1191.2467,-201.0,2392.818,1629.5024,-201.0
./voice_sample/asano.wav,0 days 00:00:41.980000,0 days 00:00:42.005000,0.14504375,-4.0935464,9.292918,-0.024466237,-0.013536647,0.016760953,12.908572,-4.7578406,12.180267,0.97922295,0.0,0.0,0.0,0.0,0.0,0.0,486.27963,1377.397,-201.0,1549.2964,1309.8115,-201.0,2355.1357,1727.1573,-201.0
./voice_sample/asano.wav,0 days 00:00:41.990000,0 days 00:00:42.015000,0.1383258,-5.2312503,10.189836,-0.0259454,-0.012767065,0.01952398,13.142667,-3.0347588,13.7725525,4.285217,0.0,0.0,0.0,0.0,0.0,0.0,374.97098,1607.2603,-201.0,1454.7998,1353.2181,-201.0,2205.4792,1319.8712,-201.0
./voice_sample/asano.wav,0 days 00:00:42,0 days 00:00:42.025000,0.12630333,-7.3352065,13.046599,-0.030106872,-0.016633965,0.018843627,14.788693,0.70228463,11.565867,7.596281,0.0,0.0,0.0,0.0,0.0,0.0,332.0735,1783.6376,-201.0,1348.4648,1423.6659,-201.0,2177.2725,1199.5621,-201.0
./voice_sample/asano.wav,0 days 00:00:42.010000,0 days 00:00:42.035000,0.112881415,-9.506594,16.391678,-0.029112807,-0.015897123,0.01721022,16.843931,2.110948,10.344207,8.594958,0.0,0.0,0.0,0.0,0.0,0.0,321.2045,1794.6178,-201.0,1368.7819,1310.0636,-201.0,2314.9636,1086.6354,-201.0
./voice_sample/asano.wav,0 days 00:00:42.020000,0 days 00:00:42.045000,0.10404376,-10.984052,18.48951,-0.031144643,-0.016986553,0.0145502435,17.743097,5.0064535,12.035457,8.959966,0.0,0.0,0.0,0.0,0.0,0.0,730.3831,1501.3427,-201.0,1726.4521,1204.8984,-201.0,2897.8752,1222.8755,-201.0
./voice_sample/asano.wav,0 days 00:00:42.030000,0 days 00:00:42.055000,0.09724311,-10.16071,17.79631,-0.02355974,-0.0127366455,0.013773444,17.013464,4.4440484,13.115048,10.40895,0.0,0.0,0.0,0.0,0.0,0.0,737.3926,1399.5518,-201.0,1761.2494,1092.0831,-201.0,2915.3367,1212.3673,-201.0
./voice_sample/asano.wav,0 days 00:00:42.040000,0 days 00:00:42.065000,0.09710126,-9.773089,15.570434,-0.023359796,-0.010064325,0.01310245,16.909899,4.98602,13.108182,8.88173,0.0,0.0,0.0,0.0,0.0,0.0,920.9629,1283.9764,-201.0,1932.0834,1205.3174,-201.0,2944.615,1230.8647,-201.0
./voice_sample/asano.wav,0 days 00:00:42.050000,0 days 00:00:42.075000,0.09833968,-8.722257,14.408116,-0.031359565,-0.007517805,0.011133023,15.984706,2.529095,12.235793,8.671803,0.0,0.0,0.0,0.0,0.0,0.0,773.837,1299.4375,-201.0,1789.4723,1241.1415,-201.0,2557.6619,1043.2468,-201.0
